impression_id,user_id,channel,campaign_id,ad_placement,timestamp,cost,device_type,audience_segment,creative_type
imp_00000000,user_000861,Campus Radio,camp_011,placement_008,2024-04-12 19:00:00,0.1697316968394073,mobile,students,image
imp_00000001,user_003172,Campus TV,camp_003,placement_022,2024-03-28 20:00:00,0.061282315805420054,desktop,alumni,image
imp_00000002,user_004556,Facebook,camp_012,placement_025,2024-10-03 00:00:00,0.10824582803960839,desktop,students,image
imp_00000003,user_003006,Instagram,camp_012,placement_003,2024-09-27 14:00:00,0.2219880813472641,desktop,students,image
imp_00000004,user_000242,Facebook,camp_009,placement_026,2024-03-29 13:00:00,0.06953442280127678,desktop,students,image
imp_00000005,user_000035,Display Network,camp_017,placement_036,2024-09-20 14:00:00,0.08644721755761248,desktop,students,image
imp_00000006,user_001501,Campus Radio,camp_018,placement_026,2024-09-16 21:00:00,0.13995082667395314,mobile,alumni,video
imp_00000007,user_003799,TikTok,camp_008,placement_021,2024-09-27 07:00:00,0.12773545793789642,mobile,staff,image
imp_00000008,user_002063,YouTube,camp_001,placement_025,2024-09-08 12:00:00,0.24737738732010345,desktop,students,image
imp_00000009,user_000392,Instagram,camp_003,placement_033,2024-05-18 18:00:00,0.1711919949562023,tablet,faculty,text
imp_00000010,user_004876,Facebook,camp_001,placement_048,2024-07-19 07:00:00,0.12416365043965327,desktop,faculty,video
imp_00000011,user_002691,Google Search,camp_005,placement_026,2024-08-01 02:00:00,0.09719698394979115,mobile,students,video
imp_00000012,user_001485,Instagram,camp_007,placement_049,2024-12-11 09:00:00,0.11287119621526534,mobile,alumni,image
imp_00000013,user_003243,YouTube,camp_004,placement_013,2024-08-24 14:00:00,0.0653959819657586,mobile,students,text
imp_00000014,user_002694,TikTok,camp_012,placement_044,2024-02-14 20:00:00,0.13330198957407324,desktop,students,image
imp_00000015,user_001307,Display Network,camp_013,placement_041,2024-08-18 00:00:00,0.11095625163160582,mobile,faculty,image
imp_00000016,user_004780,Campus TV,camp_015,placement_032,2024-08-12 18:00:00,0.15375812434867323,desktop,students,text
imp_00000017,user_003582,Campus Radio,camp_002,placement_003,2024-02-21 11:00:00,0.11017566196335393,mobile,students,video
